cause_id,cause_name,category,level,description,source_id
C-001,励磁回路开路,电气,1,励磁绕组断线或炭刷接触不良导致励磁电流无法建立,SRC-001
C-002,外部负载短路,电气,1,负载侧短路造成电压骤降，保护动作,SRC-001
C-003,逆功率保护整定值错误,电气,2,并联运行时功率分配异常触发保护误动作,SRC-002
C-004,蓄电池老化,电气,2,控制回路电压不足导致逻辑动作异常,SRC-002
C-005,启动空气阀卡阻,机械,1,主启动阀卡死使压缩空气无法进入气缸,SRC-003
C-006,燃油杂质堵塞,机械,1,喷嘴堵塞导致雾化不良无法发火,SRC-003
C-007,轴承磨损,机械,1,轴承游隙超标引起异响和振动,SRC-001
C-008,旋转方向错误,机械,2,相序接反，发电机反转无输出,SRC-001
C-009,级间冷却器结垢,热工,2,冷却效率下降导致级间压力异常,SRC-004
C-010,艉轴密封件老化,密封,1,密封环磨损后间隙增大导致漏油,SRC-004
