from_entity,from_id,relation_type,to_entity,to_id
EquipmentCategory,CAT-01,CONTAINS,Equipment,EQ-001
EquipmentCategory,CAT-01,CONTAINS,Equipment,EQ-002
EquipmentCategory,CAT-01,CONTAINS,Equipment,EQ-003
EquipmentCategory,CAT-02,CONTAINS,Equipment,EQ-004
EquipmentCategory,CAT-03,CONTAINS,Equipment,EQ-005
EquipmentCategory,CAT-03,CONTAINS,Equipment,EQ-006
Equipment,EQ-001,CONSISTS_OF,Component,CP-001
Equipment,EQ-001,CONSISTS_OF,Component,CP-002
Equipment,EQ-001,CONSISTS_OF,Component,CP-003
Equipment,EQ-003,CONSISTS_OF,Component,CP-004
Equipment,EQ-003,CONSISTS_OF,Component,CP-005
Equipment,EQ-004,CONSISTS_OF,Component,CP-006
Equipment,EQ-004,CONSISTS_OF,Component,CP-007
Equipment,EQ-005,CONSISTS_OF,Component,CP-008
Equipment,EQ-006,CONSISTS_OF,Component,CP-009
Equipment,EQ-001,HAS_FAULT,Fault,F-001
Equipment,EQ-003,HAS_FAULT,Fault,F-002
Equipment,EQ-004,HAS_FAULT,Fault,F-003
Equipment,EQ-001,HAS_FAULT,Fault,F-004
Equipment,EQ-005,HAS_FAULT,Fault,F-005
Equipment,EQ-006,HAS_FAULT,Fault,F-006
Component,CP-001,HAS_FAULT,Fault,F-001
Component,CP-006,HAS_FAULT,Fault,F-003
Component,CP-007,HAS_FAULT,Fault,F-003
Component,CP-009,HAS_FAULT,Fault,F-006
Fault,F-001,PRESENTS_AS,FaultPhenomenon,P-001
Fault,F-001,PRESENTS_AS,FaultPhenomenon,P-002
Fault,F-002,PRESENTS_AS,FaultPhenomenon,P-003
Fault,F-002,PRESENTS_AS,FaultPhenomenon,P-004
Fault,F-003,PRESENTS_AS,FaultPhenomenon,P-005
Fault,F-003,PRESENTS_AS,FaultPhenomenon,P-006
Fault,F-004,PRESENTS_AS,FaultPhenomenon,P-007
Fault,F-004,PRESENTS_AS,FaultPhenomenon,P-008
Fault,F-005,PRESENTS_AS,FaultPhenomenon,P-009
Fault,F-005,PRESENTS_AS,FaultPhenomenon,P-010
Fault,F-006,PRESENTS_AS,FaultPhenomenon,P-011
Fault,F-006,PRESENTS_AS,FaultPhenomenon,P-012
Fault,F-001,CAUSED_BY,FaultReason,C-001
Fault,F-001,CAUSED_BY,FaultReason,C-002
Fault,F-002,CAUSED_BY,FaultReason,C-003
Fault,F-002,CAUSED_BY,FaultReason,C-004
Fault,F-003,CAUSED_BY,FaultReason,C-005
Fault,F-003,CAUSED_BY,FaultReason,C-006
Fault,F-004,CAUSED_BY,FaultReason,C-007
Fault,F-001,CAUSED_BY,FaultReason,C-008
Fault,F-005,CAUSED_BY,FaultReason,C-009
Fault,F-006,CAUSED_BY,FaultReason,C-010
FaultReason,C-001,FIXED_BY,MaintenanceAction,A-001
FaultReason,C-001,FIXED_BY,MaintenanceAction,A-002
FaultReason,C-002,FIXED_BY,MaintenanceAction,A-003
FaultReason,C-003,FIXED_BY,MaintenanceAction,A-004
FaultReason,C-003,FIXED_BY,MaintenanceAction,A-005
FaultReason,C-004,FIXED_BY,MaintenanceAction,A-006
FaultReason,C-005,FIXED_BY,MaintenanceAction,A-007
FaultReason,C-005,FIXED_BY,MaintenanceAction,A-008
FaultReason,C-006,FIXED_BY,MaintenanceAction,A-009
FaultReason,C-007,FIXED_BY,MaintenanceAction,A-010
FaultReason,C-007,FIXED_BY,MaintenanceAction,A-011
FaultReason,C-008,FIXED_BY,MaintenanceAction,A-012
FaultReason,C-009,FIXED_BY,MaintenanceAction,A-013
FaultReason,C-009,FIXED_BY,MaintenanceAction,A-014
FaultReason,C-010,FIXED_BY,MaintenanceAction,A-015
FaultReason,C-010,FIXED_BY,MaintenanceAction,A-016
FaultReason,C-001,RELATES_TO,Component,CP-001
FaultReason,C-007,RELATES_TO,Component,CP-002
FaultReason,C-005,RELATES_TO,Component,CP-006
FaultReason,C-006,RELATES_TO,Component,CP-007
FaultReason,C-009,RELATES_TO,Component,CP-008
FaultReason,C-010,RELATES_TO,Component,CP-009
MaintenanceAction,A-001,HAS_NOTICE,SafetyNotice,N-001
MaintenanceAction,A-002,HAS_NOTICE,SafetyNotice,N-001
MaintenanceAction,A-003,HAS_NOTICE,SafetyNotice,N-002
MaintenanceAction,A-004,HAS_NOTICE,SafetyNotice,N-003
MaintenanceAction,A-007,HAS_NOTICE,SafetyNotice,N-004
MaintenanceAction,A-009,HAS_NOTICE,SafetyNotice,N-005
MaintenanceAction,A-015,HAS_NOTICE,SafetyNotice,N-006
