action_id,step_order,description,estimated_time,tools,source_id
A-001,1,测量励磁回路通断，定位断点,30min,万用表,SRC-001
A-002,2,更换断线的励磁绕组或修复炭刷,2h,常用电工工具,SRC-001
A-003,1,断开负载逐级排查短路点,1h,绝缘电阻表,SRC-001
A-004,1,核对逆功率保护整定值并重新校验,40min,保护校验仪,SRC-002
A-005,2,检查并联运行时的功率分配与频率,30min,功率表,SRC-002
A-006,1,更换老化的蓄电池组,1h,扳手/万用表,SRC-002
A-007,1,拆检主启动阀，清理阀芯并润滑,1.5h,专用拆卸工具,SRC-003
A-008,2,检查启动空气管路的密封性,40min,肥皂水/压力表,SRC-003
A-009,1,更换燃油滤器并清洗喷嘴,1h,滤器专用扳手,SRC-003
A-010,1,测量轴承游隙，超标则更换轴承,2h,塞尺/拉马,SRC-001
A-011,2,对转子做动平衡校验,1h,振动测量仪,SRC-001
A-012,1,检查相序并重新接线,30min,相序表,SRC-001
A-013,1,化学清洗级间冷却器水侧,3h,清洗泵,SRC-004
A-014,2,检查冷却水流量与阀件开度,20min,-,SRC-004
A-015,1,更换艉轴密封件（SIMPLEX环）,8h,液压拉马/专用工具,SRC-004
A-016,2,调整密封冷却水流量,15min,-,SRC-004
